Gene_ID	MCF7-2-DMSO-1	MCF7-2-DMSO-2	MCF7-2-DMSO-3	MCF7-2-LY-1	MCF7-2-LY-2	MCF7-2-LY-3	MDA-MB453-DMSO-1	MDA-MB453-DMSO-2	MDA-MB453-DMSO-3	MDA-MB453-LY-1	MDA-MB453-LY-2	MDA-MB453-LY-3	MDA-MB-468-DMSO-1	MDA-MB468-DMSO-2	MDA-MB468-DMSO-3	MDA-MB468-LY-1	MDA-MB468-LY-2	MDA-MB468-LY-3
TIAL1	1497	1988	2950	1722	1132	2088	1586	1511	1801	1673	1265	1387	1144	1244	1773	1153	1336	1716
BBS5	71	119	179	130	83	144	13	11	11	36	38	34	4	3	7	2	8	12
TMED2	7250	9467	11491	8149	6345	8699	6306	6068	7960	12011	9261	10695	3627	4436	5342	3676	4200	5047
MAGEC3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
OTOP2	1	0	0	1	0	2	9	12	8	32	23	24	0	0	0	0	0	0
GJA5	0	0	0	0	0	0	0	0	0	0	0	0	671	755	1453	481	465	816
ZNF501	0	0	0	0	0	0	36	34	55	53	36	24	38	46	43	32	33	42
OR6C76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAG1	1588	2209	3989	4219	2845	5245	2624	2819	3554	5338	4475	4418	3597	3886	7345	2375	2926	6290
RBBP9	648	1110	1166	660	524	669	715	644	804	1063	873	765	711	719	970	531	699	828
AC007405.2	9	20	21	18	11	10	0	0	2	0	0	1	0	0	1	0	0	0
CRTC1	472	596	851	564	484	845	386	351	554	666	616	665	590	607	1031	491	709	883
IQUB	4	5	3	17	9	9	2	2	4	9	2	4	0	2	2	0	1	1
SLC15A2	43	73	95	76	63	103	9	8	15	74	50	74	80	199	184	7	54	50
AC021860.1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
CPT1C	1	2	1	0	0	4	1	1	1	0	0	0	133	133	194	102	157	180
CD200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPP	1429	1996	2253	1149	907	1429	1438	1569	1844	1501	1191	1576	1011	1132	1538	1054	1364	1496
C8orf34	2	2	5	3	2	5	12	6	20	19	15	15	0	0	0	0	0	0
C16orf80	581	810	1007	471	399	614	565	596	732	668	459	632	935	990	1463	890	893	1292
ZNF99	1	1	2	0	1	1	2	0	0	1	0	1	3	6	5	1	1	10
CASP8	102	145	209	297	242	357	171	173	188	351	256	214	362	370	576	359	287	488
XPOT	3701	6547	7121	3837	4206	4809	1691	1571	2209	1611	1288	1306	3327	4009	5759	3402	4274	5955
DAP3	2770	4258	4293	3661	3128	3876	3102	2964	4209	4000	3168	3995	3263	3624	4720	4446	4648	5085
SUN2	2182	2576	3939	2003	1600	2778	3479	3734	4625	4610	3943	4832	1902	2392	3721	1630	2231	3049
TAGLN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
KATNAL2	175	193	225	145	115	180	38	44	45	65	50	49	13	17	16	7	14	17
PDGFRB	2	4	5	2	5	3	5	2	2	1	2	0	3	1	6	1	5	5
NXF1	1150	1380	2261	1251	810	1616	730	735	987	663	602	799	906	1104	1723	826	912	1885
DENND1C	2	3	4	1	2	4	4	1	2	3	2	4	0	0	1	0	0	0
KIAA1033	764	891	1807	1106	790	1525	449	414	582	1176	968	1101	599	611	1041	738	738	1248
LFNG	387	418	678	1464	900	1598	664	750	877	1228	1036	757	79	88	172	48	69	149
C12orf54	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ZNF41	302	378	600	405	281	481	224	183	274	497	416	382	128	155	215	110	122	156
CTD-2192J16.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB3	1	3	1	1	1	3	0	0	0	0	0	0	3	8	11	1	1	1
DOLPP1	389	592	777	512	361	625	527	564	667	680	531	578	305	348	602	249	299	497
MOG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNG3	12	7	14	3	2	3	0	0	0	0	0	0	24	37	37	38	54	93
PAGE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPCD	332	452	508	462	345	474	226	214	304	261	202	220	210	246	363	202	248	267
USP47	1138	1682	2147	1588	1192	1852	858	814	1062	1596	1258	1575	1006	1064	1579	953	1031	1495
VGLL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BE	12	21	8	6	7	8	14	18	23	24	22	28	0	1	0	0	0	1
CIR1	686	1306	1050	636	642	716	497	493	604	993	728	823	341	382	545	288	385	345
FBXL15	481	790	873	680	599	842	330	329	440	810	673	825	159	170	254	169	223	270
TTC33	171	301	360	160	135	227	137	107	101	272	205	221	295	370	448	250	303	360
KLF7	151	229	320	280	213	440	0	0	0	1	0	0	81	91	174	50	70	140
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ZSCAN30	70	86	98	113	113	154	100	99	112	267	206	248	90	101	213	85	118	183
KRTAP9-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCHD1	1515	1888	3502	2219	1423	2592	405	441	511	414	297	303	3173	4109	5866	3595	4070	6987
CD55	866	1398	1330	858	739	851	303	309	374	101	83	30	406	356	581	819	529	689
AP000679.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTC-241N9.1	15	39	26	15	17	21	4	6	5	14	12	18	3	3	4	3	7	3
RP11-343C2.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM120C	258	448	697	406	332	610	274	292	268	549	434	358	82	81	120	60	89	153
ARFGEF2	2208	3391	5160	3712	2915	4812	1718	1680	1982	3277	2646	3048	1442	1728	2643	1151	1522	2541
DPP6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SYT7	1256	1500	2079	1531	1108	1881	248	242	219	448	342	198	2320	3426	4294	1224	2860	2921
INPP4B	804	1074	1821	2957	1867	3339	25	21	40	857	693	713	472	310	538	760	455	685
CTRC	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
RERGL	8	3	11	3	4	4	0	0	0	0	2	0	0	0	0	0	0	0
HEATR5A	511	659	1259	971	600	1229	905	854	1139	987	830	911	693	723	1201	451	580	986
TMEM169	54	82	70	116	78	102	0	0	1	0	0	0	4	11	17	5	5	9
CFI	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	0	0
ANKRD17	1845	2770	4599	3586	2664	4765	2901	2863	3235	5958	4899	5020	2728	3073	4683	2285	2690	4181
CYYR1	0	0	0	0	0	0	0	0	0	0	0	0	778	1335	1268	418	727	616
FAM195B	162	227	220	178	172	210	151	147	202	165	140	134	95	165	178	99	162	161
DTD1	2068	2786	2923	1667	1285	1875	162	151	235	98	82	76	786	848	1166	841	1004	911
MFSD4	6	10	8	9	7	13	3	1	1	2	3	2	3	0	5	1	6	4
SLC25A38	936	1364	1402	1436	1337	1484	664	666	740	1665	1252	1273	415	463	609	476	549	664
HOXB4	0	0	0	0	0	1	0	0	0	0	0	0	45	51	73	47	49	62
RAD54L	711	1298	1486	339	236	571	676	645	678	138	123	59	840	852	1486	1040	1199	1640
CARD17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf54	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1549L	1	3	4	6	3	16	0	0	0	0	0	0	703	1066	1319	613	1149	1315
TMBIM6	20862	28752	28685	28506	25124	28967	16879	15944	22637	47157	36669	45801	8458	9722	12826	8637	10487	12152
AC079341.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1	17760	25438	26294	14208	9886	15147	11389	10428	14057	6324	4929	5535	11325	13692	17965	8449	11858	13008
DDR1	7817	9704	12751	9511	7287	11120	5451	5488	6978	17850	14995	16820	7998	9997	15091	7938	11622	15241
REV3L	659	1018	1964	1302	892	1762	549	500	594	1138	797	949	769	758	1513	751	753	1800
PDS5A	4221	5335	8184	4238	2846	4911	2999	2894	3568	3437	2692	3369	3201	3722	5209	2720	3185	4549
MRPL30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1
MCM7	7576	9964	13063	3481	2191	4992	6577	6657	8579	1355	1108	962	5324	6272	8374	4798	5870	6674
AC116407.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D15	737	1102	1231	551	411	634	540	496	618	644	491	568	569	635	880	509	475	620
ST13	3172	4405	4539	3608	3142	3762	4235	4087	5372	9069	6962	9136	3722	4259	5293	3639	4331	4574
CDC27	1655	2227	3013	1894	1388	2113	1744	1670	2142	2323	1765	2195	803	894	1242	807	797	1081
