Gene_ID	MCF7-2_shRB1-3_DMSO_1	MCF7-2_shRB1-3_DMSO_2	MCF7-2_shRB1-3_LY500nM_1	MCF7-2_shRB1-3_LY500nM_2
IFNG-AS1	0	0	0	0
TRIM49D1	0	0	0	0
MIR5702	0	0	0	0
TGIF2LY	0	0	0	0
CYP27A1	0	13	3	3
GMEB2	300	1357	1051	693
TRAF3	220	410	587	358
TCP11L2	17	99	16	21
CDRT8	0	0	0	0
ADAMTS7P1	0	0	0	0
SFTPA2	1	1	7	1
TEX21P	2	1	3	3
LOC283914	0	0	0	0
SOX1	0	0	0	0
BOLA3-AS1	15	33	34	13
MC1R	80	310	279	201
AHCYL1	2246	5980	4447	2943
RBMS3	1	0	0	0
RNU6-76P	0	0	0	0
MIR4696	0	0	0	0
CENPBD1	299	774	745	430
FAM3A	281	1120	922	560
DGCR6L	249	1127	1156	626
PFDN6	360	673	577	388
CGB8	0	0	0	0
LINC01265	0	2	0	0
LCE5A	0	0	0	0
C7orf76	0	0	0	0
CAMK4	2	0	0	1
PEX3	112	158	172	76
KDM4A-AS1	75	32	57	28
POU2AF1	1	0	2	2
PLA2G6	93	483	311	199
CXorf56	317	677	593	380
SPATA31A3	0	0	0	0
AGO3	116	297	224	167
AHCY	4586	17297	14943	8560
FAM47A	0	0	0	0
POGK	1388	2747	2969	1741
OXR1	588	1240	1052	638
MIR4436B2	0	0	0	0
KIAA1468	178	362	326	196
OR2A1	0	0	0	0
ST3GAL5	23	46	44	44
SNHG4	23	35	44	22
DTX1	1	2	5	3
FCGR2B	2	11	0	1
TBPL2	0	0	0	0
TNPO3	680	2125	1399	920
WRAP73	77	244	191	124
CACNA1G	5	12	12	5
MIR215	0	0	0	0
LOC101927274	0	0	0	0
MIR3917	0	0	0	0
ZNRF1	547	2532	2244	1124
CATSPERG	4	37	24	29
ZBTB16	0	3	0	0
MUC20	19	146	123	63
PCDHB10	14	51	46	31
GTF2A1	523	683	837	577
CSH2	0	0	0	0
PPAP2C	379	1133	957	553
FAM199X	765	1181	1617	937
YARS	1423	11167	3330	3067
IFNL1	0	0	2	2
MYPN	1	0	0	1
RAB3C	0	0	0	0
MCRS1	730	2207	2056	1023
MIR138-1	0	0	0	0
LOC101929125	0	2	7	2
PVRL2	2322	7892	7267	4367
PBOV1	0	0	0	0
IGF2BP2	189	563	481	332
FAM90A27P	0	0	0	0
OXER1	1	3	1	2
CHMP4A	800	2013	1953	1030
CNGA2	0	0	0	0
RNF222	2	5	4	5
PROSC	386	747	870	449
SPPL2A	1570	2879	3052	1777
ZNF93	338	619	531	254
ANKRD33B	2	12	15	9
ERCC-00126	0	0	0	0
MAPK9	1055	1815	2214	1226
MIR548AR	0	0	0	0
SDC2	482	898	1039	586
SSR2	2428	8422	7906	4647
OR10A5	0	0	0	0
GCG	0	0	0	0
STARD13-AS	0	0	0	0
CTNND1	29	86	83	51
ZNF784	61	376	167	91
SLC7A10	1	0	0	0
MIR4777	0	0	0	0
MFSD9	71	174	243	159
KIF20B	1043	978	1255	645
DENND4C	337	605	623	395
SNORD115-16	0	0	0	0
KCNC4-AS1	0	1	1	0
OR1N1	0	0	0	0
SEZ6L2	1132	6082	5674	3374
PTCRA	0	0	0	0
CYP4F62P	0	0	0	0
PANDAR	1	1	0	0
SNHG12	10	21	34	25
FLJ42351	1	2	3	1
HLA-J	0	1	1	0
C21orf119	47	167	131	60
AGFG2	33	85	161	88
MNX1	78	318	272	156
LOC100652758	5	21	12	9
CLDN11	0	1	0	5
RBP2	0	0	0	0
CD74	3	9	59	26
NCSTN	327	1449	1203	808
LOC553103	16	20	15	6
NACA2	8	13	8	1
DIO2-AS1	0	0	0	0
MIR1276	0	0	0	0
LOC100128554	0	0	0	0
CD109	192	467	632	469
BCAP29	475	570	723	386
TANK	264	573	451	290
FLJ36777	3	17	16	7
RASA4	3	2	3	1
IPO9-AS1	89	16	18	11
MIR626	0	0	0	0
CDRT15L2	0	0	0	0
OR10V1	0	0	0	0
ERCC6-PGBD3	0	0	0	0
MIR563	0	0	0	1
ZNF682	80	73	109	41
KANSL2	261	559	562	338
ATP1A2	0	18	1	0
AADACL4	0	0	0	0
CMTM3	0	5	3	0
KRT7	21	93	77	46
CLEC4GP1	0	1	0	0
SOX7	1	8	0	3
CSHL1	0	0	0	0
MACROD2-AS1	0	0	0	0
LINC00598	0	0	0	0
MIR4503	0	0	0	0
PLET1	0	0	0	0
DEFA11P	0	0	0	0
PRPF4B	829	934	1380	830
GPR1	0	3	0	0
CTCFL	0	0	0	0
ANP32B	4386	11064	7620	4310
MECOM	30	69	93	61
DNAJB8-AS1	0	0	0	0
PTK7	203	861	620	440
AOC3	0	3	1	1
C3orf20	0	1	3	1
CLN5	116	129	147	70
GABPB1	501	664	807	382
ZNF814	86	95	136	80
MAGEA11	0	0	0	0
ACSL4	31	27	66	29
BMS1P6	0	0	0	0
CEP85L	37	83	78	37
RNF38	155	286	352	223
ABCA12	1249	5810	1742	1881
HGD	119	455	427	331
RBM5	439	1300	1182	709
ABCG4	0	0	0	0
LOC100133985	7	53	39	15
CEL	13	96	49	51
PLLP	24	84	59	43
ZNF365	2	1	16	8
NPAT	176	254	236	152
DPM3	261	1016	1199	548
ATMIN	1273	2261	2562	1471
CDCA8	833	1750	1942	921
NOXA1	7	111	41	37
ZNF619	30	126	64	73
MIR4745	0	0	0	0
HTR3E	0	0	0	0
WNK4	2	2	0	0
CTAGE7P	1	0	0	0
C11orf96	1	15	9	2
CAMK1G	0	0	0	0
C10orf35	86	244	275	115
SLC6A3	0	1	0	1
